# J, eta_p, CT, CP
0.0,0.00,0.0977,0.0575
0.0,0.06,0.0975,0.0576
0.1,0.11,0.0973,0.0577
0.1,0.17,0.0970,0.0577
0.1,0.22,0.0966,0.0578
0.2,0.27,0.0961,0.0578
0.2,0.32,0.0954,0.0577
0.2,0.36,0.0944,0.0574
0.2,0.41,0.0932,0.0571
0.3,0.45,0.0914,0.0565
0.3,0.50,0.0892,0.0555
0.3,0.54,0.0864,0.0543
0.4,0.58,0.0831,0.0528
0.4,0.61,0.0794,0.0512
0.4,0.64,0.0754,0.0495
0.4,0.67,0.0712,0.0479
0.5,0.70,0.0669,0.0462
0.5,0.72,0.0624,0.0444
0.5,0.73,0.0579,0.0425
0.6,0.75,0.0532,0.0404
0.6,0.76,0.0484,0.0381
0.6,0.77,0.0435,0.0355
0.7,0.78,0.0385,0.0326
0.7,0.78,0.0333,0.0295
0.7,0.77,0.0281,0.0260
0.7,0.76,0.0227,0.0222
0.8,0.73,0.0172,0.0182
0.8,0.67,0.0116,0.0139
0.8,0.52,0.0058,0.0094
0.9,-0.00,-0.0000,0.0053
