# J, eta_p, CT, CP
0.00,0.0000,0.1017,0.0381
0.02,0.0564,0.1003,0.0378
0.04,0.1120,0.0986,0.0375
0.06,0.1663,0.0967,0.0371
0.08,0.2187,0.0946,0.0368
0.11,0.2693,0.0923,0.0364
0.13,0.3177,0.0897,0.0360
0.15,0.3636,0.0871,0.0356
0.17,0.4072,0.0842,0.0351
0.19,0.4482,0.0812,0.0346
0.21,0.4865,0.0781,0.0341
0.23,0.5222,0.0749,0.0335
0.25,0.5553,0.0715,0.0328
0.28,0.5862,0.0681,0.0320
0.30,0.6145,0.0646,0.0312
0.32,0.6405,0.0610,0.0303
0.34,0.6642,0.0573,0.0293
0.36,0.6857,0.0535,0.0281
0.38,0.7043,0.0496,0.0269
0.40,0.7198,0.0455,0.0255
0.42,0.7316,0.0414,0.0240
0.44,0.7392,0.0372,0.0224
0.47,0.7414,0.0329,0.0208
0.49,0.7366,0.0285,0.0189
0.51,0.7220,0.0239,0.0170
0.53,0.6894,0.0194,0.0150
0.55,0.6309,0.0147,0.0130
0.57,0.5255,0.0098,0.0110
0.59,0.3426,0.0050,0.0089
0.61,-0.0005,0.0000,0.0069
