# J, eta_p, CT, CP
0.0,0.00,0.1021,0.1234
0.0,0.06,0.1024,0.1219
0.1,0.11,0.1028,0.1212
0.1,0.17,0.1032,0.1207
0.2,0.22,0.1035,0.1200
0.2,0.27,0.1038,0.1181
0.3,0.32,0.1041,0.1176
0.3,0.36,0.1044,0.1165
0.4,0.41,0.1045,0.1151
0.4,0.45,0.1046,0.1139
0.4,0.49,0.1045,0.1125
0.5,0.53,0.1044,0.1112
0.5,0.57,0.1041,0.1098
0.6,0.61,0.1036,0.1085
0.6,0.64,0.1028,0.1074
0.7,0.68,0.1015,0.1062
0.7,0.71,0.0993,0.1041
0.8,0.75,0.0961,0.1011
0.8,0.78,0.0913,0.0961
0.8,0.81,0.0848,0.0899
0.9,0.84,0.0774,0.0836
0.9,0.86,0.0696,0.0766
1.0,0.87,0.0615,0.0696
1.0,0.88,0.0533,0.0622
1.1,0.88,0.0449,0.0544
1.1,0.88,0.0364,0.0463
1.2,0.86,0.0276,0.0373
1.2,0.80,0.0186,0.0282
1.2,0.62,0.0093,0.0189
1.3,-0.00,0.0000,0.0101
