# J, eta_p, CT, CP
0.0,0.00,0.1619,0.1242
0.0,0.05,0.1615,0.1217
0.1,0.10,0.1610,0.1190
0.1,0.15,0.1603,0.1162
0.1,0.20,0.1593,0.1133
0.2,0.25,0.1579,0.1103
0.2,0.31,0.1560,0.1072
0.2,0.36,0.1536,0.1043
0.3,0.41,0.1506,0.1014
0.3,0.46,0.1470,0.0989
0.3,0.51,0.1424,0.0965
0.4,0.55,0.1372,0.0944
0.4,0.59,0.1311,0.0920
0.4,0.62,0.1247,0.0897
0.5,0.65,0.1182,0.0873
0.5,0.68,0.1115,0.0846
0.6,0.71,0.1047,0.0817
0.6,0.73,0.0975,0.0783
0.6,0.75,0.0902,0.0745
0.7,0.77,0.0828,0.0706
0.7,0.78,0.0753,0.0663
0.7,0.80,0.0675,0.0616
0.8,0.80,0.0595,0.0565
0.8,0.80,0.0514,0.0510
0.8,0.79,0.0432,0.0453
0.9,0.77,0.0348,0.0393
0.9,0.72,0.0263,0.0330
0.9,0.61,0.0176,0.0269
1.0,0.42,0.0089,0.0206
1.0,-0.01,-0.0001,0.0144
