# J, eta_p, CT, CP
0.00,0.0000,0.1892,0.1727
0.03,0.0449,0.1891,0.1688
0.07,0.0899,0.1889,0.1649
0.10,0.1353,0.1887,0.1609
0.14,0.1813,0.1882,0.1567
0.17,0.2281,0.1875,0.1522
0.21,0.2762,0.1863,0.1474
0.24,0.3257,0.1845,0.1423
0.28,0.3767,0.1820,0.1368
0.31,0.4289,0.1786,0.1314
0.34,0.4810,0.1744,0.1261
0.38,0.5313,0.1691,0.1212
0.41,0.5778,0.1628,0.1168
0.45,0.6189,0.1556,0.1128
0.48,0.6541,0.1474,0.1088
0.52,0.6838,0.1389,0.1051
0.55,0.7103,0.1304,0.1013
0.59,0.7344,0.1216,0.0971
0.62,0.7560,0.1127,0.0925
0.66,0.7754,0.1035,0.0875
0.69,0.7923,0.0941,0.0819
0.72,0.8068,0.0845,0.0759
0.76,0.8177,0.0746,0.0693
0.79,0.8240,0.0646,0.0622
0.83,0.8247,0.0543,0.0545
0.86,0.8157,0.0438,0.0463
0.90,0.7867,0.0331,0.0377
0.93,0.7171,0.0222,0.0289
0.97,0.5426,0.0112,0.0200
1.00,0.0003,0.0000,0.0115
