# J, eta_p, CT, CP
0.0,0.00,0.1202,0.0737
0.0,0.07,0.1204,0.0754
0.1,0.14,0.1206,0.0772
0.1,0.20,0.1208,0.0791
0.2,0.26,0.1210,0.0812
0.2,0.32,0.1213,0.0834
0.3,0.37,0.1215,0.0858
0.3,0.42,0.1216,0.0883
0.3,0.47,0.1217,0.0908
0.4,0.52,0.1216,0.0931
0.4,0.56,0.1212,0.0954
0.5,0.60,0.1205,0.0973
0.5,0.63,0.1195,0.0991
0.6,0.67,0.1180,0.1005
0.6,0.70,0.1159,0.1015
0.7,0.73,0.1131,0.1018
0.7,0.75,0.1091,0.1010
0.7,0.78,0.1027,0.0979
0.8,0.80,0.0954,0.0938
0.8,0.82,0.0877,0.0890
0.9,0.83,0.0799,0.0838
0.9,0.84,0.0718,0.0780
1.0,0.85,0.0635,0.0714
1.0,0.86,0.0550,0.0642
1.0,0.86,0.0462,0.0560
1.1,0.86,0.0373,0.0471
1.1,0.85,0.0282,0.0375
1.2,0.82,0.0189,0.0271
1.2,0.72,0.0095,0.0163
1.3,-0.00,-0.0000,0.0063
