# J, eta_p, CT, CP
0.0,0.00,0.0975,0.1226
0.0,0.04,0.0977,0.1202
0.1,0.09,0.0979,0.1178
0.1,0.13,0.0982,0.1152
0.1,0.17,0.0983,0.1123
0.2,0.22,0.0984,0.1095
0.2,0.26,0.0985,0.1067
0.3,0.30,0.0983,0.1027
0.3,0.34,0.0983,0.1008
0.3,0.39,0.0980,0.0975
0.4,0.43,0.0977,0.0946
0.4,0.48,0.0971,0.0914
0.5,0.53,0.0962,0.0876
0.5,0.58,0.0950,0.0851
0.5,0.63,0.0932,0.0817
0.6,0.68,0.0907,0.0781
0.6,0.73,0.0873,0.0743
0.7,0.77,0.0822,0.0701
0.7,0.80,0.0763,0.0663
0.7,0.82,0.0704,0.0630
0.8,0.83,0.0642,0.0594
0.8,0.85,0.0578,0.0552
0.8,0.86,0.0511,0.0504
0.9,0.87,0.0442,0.0451
0.9,0.87,0.0372,0.0395
1.0,0.86,0.0301,0.0335
1.0,0.84,0.0228,0.0272
1.0,0.79,0.0154,0.0204
1.1,0.61,0.0077,0.0137
1.1,-0.00,-0.0000,0.0074
