# J, eta_p, CT, CP
0.0,0.00,0.0890,0.0984
0.1,0.06,0.0893,0.0983
0.1,0.12,0.0896,0.0978
0.1,0.18,0.0900,0.0981
0.2,0.23,0.0903,0.0981
0.2,0.28,0.0907,0.0983
0.3,0.33,0.0910,0.0975
0.3,0.38,0.0913,0.0976
0.4,0.42,0.0916,0.0978
0.4,0.46,0.0918,0.0974
0.5,0.50,0.0920,0.0977
0.5,0.54,0.0920,0.0968
0.6,0.58,0.0920,0.0973
0.6,0.61,0.0919,0.0977
0.6,0.65,0.0913,0.0981
0.7,0.68,0.0901,0.0978
0.7,0.71,0.0883,0.0967
0.8,0.74,0.0858,0.0946
0.8,0.77,0.0825,0.0917
0.9,0.80,0.0780,0.0878
0.9,0.82,0.0720,0.0820
1.0,0.84,0.0651,0.0755
1.0,0.86,0.0578,0.0688
1.1,0.86,0.0502,0.0619
1.1,0.85,0.0424,0.0553
1.1,0.81,0.0345,0.0487
1.2,0.75,0.0260,0.0412
1.2,0.65,0.0175,0.0334
1.3,0.44,0.0086,0.0254
1.3,0.01,0.0002,0.0177
