# J, eta_p, CT, CP
0.0,0.00,0.0890,0.0349
0.0,0.06,0.0880,0.0347
0.0,0.11,0.0868,0.0346
0.1,0.17,0.0854,0.0344
0.1,0.22,0.0840,0.0342
0.1,0.27,0.0822,0.0340
0.1,0.32,0.0804,0.0337
0.2,0.37,0.0783,0.0334
0.2,0.42,0.0762,0.0331
0.2,0.46,0.0738,0.0326
0.2,0.50,0.0712,0.0322
0.2,0.54,0.0685,0.0317
0.3,0.57,0.0656,0.0311
0.3,0.60,0.0625,0.0304
0.3,0.63,0.0593,0.0296
0.3,0.66,0.0560,0.0287
0.4,0.68,0.0525,0.0277
0.4,0.71,0.0489,0.0265
0.4,0.73,0.0453,0.0252
0.4,0.74,0.0415,0.0239
0.5,0.76,0.0378,0.0224
0.5,0.77,0.0339,0.0208
0.5,0.78,0.0299,0.0191
0.5,0.78,0.0258,0.0172
0.5,0.77,0.0217,0.0152
0.6,0.75,0.0176,0.0132
0.6,0.71,0.0133,0.0110
0.6,0.64,0.0089,0.0087
0.6,0.47,0.0045,0.0063
0.7,-0.01,-0.0001,0.0044
