# J, eta_p, CT, CP
0.00,0.0000,0.0871,0.0362
0.02,0.0528,0.0859,0.0356
0.04,0.1053,0.0846,0.0349
0.06,0.1573,0.0830,0.0343
0.09,0.2085,0.0814,0.0338
0.11,0.2585,0.0796,0.0332
0.13,0.3070,0.0777,0.0327
0.15,0.3538,0.0757,0.0322
0.17,0.3987,0.0735,0.0317
0.19,0.4415,0.0712,0.0312
0.21,0.4820,0.0687,0.0307
0.24,0.5200,0.0662,0.0301
0.26,0.5558,0.0634,0.0294
0.28,0.5888,0.0605,0.0287
0.30,0.6181,0.0574,0.0280
0.32,0.6440,0.0542,0.0271
0.34,0.6666,0.0509,0.0262
0.37,0.6867,0.0474,0.0253
0.39,0.7042,0.0440,0.0242
0.41,0.7183,0.0404,0.0230
0.43,0.7282,0.0367,0.0217
0.45,0.7348,0.0330,0.0203
0.47,0.7373,0.0291,0.0187
0.49,0.7347,0.0252,0.0170
0.52,0.7242,0.0212,0.0152
0.54,0.7020,0.0172,0.0132
0.56,0.6605,0.0130,0.0111
0.58,0.5804,0.0088,0.0089
0.60,0.4115,0.0044,0.0066
0.62,0.0011,0.0000,0.0046
