# J, eta_p, CT, CP
0.00,0.0000,0.1061,0.0465
0.02,0.0530,0.1051,0.0458
0.05,0.1062,0.1039,0.0451
0.07,0.1593,0.1025,0.0444
0.09,0.2122,0.1009,0.0437
0.11,0.2642,0.0991,0.0430
0.14,0.3149,0.0969,0.0424
0.16,0.3634,0.0945,0.0418
0.18,0.4091,0.0918,0.0412
0.21,0.4517,0.0888,0.0406
0.23,0.4915,0.0855,0.0399
0.25,0.5287,0.0821,0.0392
0.27,0.5631,0.0785,0.0384
0.30,0.5949,0.0747,0.0374
0.32,0.6241,0.0709,0.0364
0.34,0.6507,0.0669,0.0353
0.37,0.6753,0.0629,0.0341
0.39,0.6970,0.0587,0.0328
0.41,0.7164,0.0545,0.0313
0.43,0.7329,0.0501,0.0297
0.46,0.7462,0.0456,0.0280
0.48,0.7550,0.0410,0.0261
0.50,0.7598,0.0362,0.0241
0.53,0.7561,0.0314,0.0219
0.55,0.7449,0.0264,0.0196
0.57,0.7184,0.0213,0.0171
0.59,0.6674,0.0161,0.0146
0.62,0.5725,0.0109,0.0120
0.64,0.3863,0.0054,0.0094
0.66,0.0006,0.0000,0.0070
