# J, eta_p, CT, CP
0.0,0.00,0.1436,0.0843
0.1,0.08,0.1438,0.0879
0.1,0.16,0.1440,0.0915
0.1,0.23,0.1442,0.0951
0.2,0.30,0.1445,0.0992
0.2,0.37,0.1451,0.1014
0.3,0.42,0.1453,0.1074
0.4,0.47,0.1459,0.1101
0.4,0.52,0.1462,0.1151
0.5,0.56,0.1465,0.1210
0.5,0.60,0.1469,0.1245
0.6,0.63,0.1469,0.1298
0.6,0.66,0.1465,0.1354
0.7,0.69,0.1454,0.1396
0.7,0.71,0.1431,0.1431
0.8,0.73,0.1391,0.1449
0.8,0.75,0.1331,0.1443
0.9,0.77,0.1254,0.1411
0.9,0.79,0.1162,0.1356
1.0,0.80,0.1069,0.1290
1.0,0.81,0.0973,0.1216
1.1,0.83,0.0874,0.1132
1.1,0.83,0.0774,0.1042
1.2,0.83,0.0671,0.0942
1.2,0.83,0.0567,0.0834
1.3,0.82,0.0460,0.0715
1.3,0.79,0.0351,0.0587
1.4,0.73,0.0238,0.0449
1.4,0.57,0.0121,0.0305
1.5,0.00,0.0000,0.0157
