# J, eta_p, CT, CP
0.00,0.0000,0.1338,0.1468
0.04,0.0513,0.1341,0.1450
0.09,0.1016,0.1343,0.1431
0.13,0.1511,0.1345,0.1412
0.18,0.1999,0.1347,0.1392
0.22,0.2481,0.1348,0.1372
0.27,0.2957,0.1348,0.1352
0.31,0.3430,0.1348,0.1331
0.35,0.3899,0.1346,0.1311
0.40,0.4371,0.1343,0.1290
0.44,0.4846,0.1339,0.1269
0.49,0.5327,0.1332,0.1246
0.53,0.5810,0.1321,0.1224
0.57,0.6292,0.1304,0.1200
0.62,0.6759,0.1277,0.1172
0.66,0.7190,0.1236,0.1141
0.71,0.7548,0.1176,0.1103
0.75,0.7830,0.1097,0.1054
0.80,0.8057,0.1015,0.1003
0.84,0.8259,0.0931,0.0948
0.88,0.8435,0.0846,0.0887
0.93,0.8589,0.0759,0.0821
0.97,0.8722,0.0671,0.0748
1.02,0.8835,0.0581,0.0668
1.06,0.8914,0.0488,0.0581
1.11,0.8937,0.0394,0.0487
1.15,0.8840,0.0298,0.0388
1.19,0.8457,0.0201,0.0283
1.24,0.7196,0.0101,0.0174
1.28,-0.0021,-0.0000,0.0075
