# J, eta_p, CT, CP
0.0,0.00,0.1170,0.1180
0.0,0.05,0.1171,0.1157
0.1,0.09,0.1171,0.1132
0.1,0.14,0.1171,0.1108
0.1,0.18,0.1170,0.1083
0.2,0.23,0.1168,0.1056
0.2,0.27,0.1165,0.1028
0.2,0.32,0.1161,0.1001
0.3,0.36,0.1155,0.0970
0.3,0.41,0.1146,0.0938
0.3,0.46,0.1132,0.0902
0.4,0.51,0.1111,0.0864
0.4,0.56,0.1085,0.0824
0.4,0.61,0.1051,0.0786
0.5,0.66,0.1011,0.0752
0.5,0.69,0.0965,0.0722
0.5,0.73,0.0912,0.0693
0.6,0.75,0.0854,0.0664
0.6,0.78,0.0792,0.0633
0.6,0.79,0.0729,0.0602
0.7,0.81,0.0664,0.0565
0.7,0.82,0.0596,0.0524
0.8,0.83,0.0527,0.0479
0.8,0.84,0.0457,0.0430
0.8,0.84,0.0384,0.0377
0.9,0.84,0.0310,0.0318
0.9,0.82,0.0235,0.0257
0.9,0.78,0.0159,0.0192
1.0,0.65,0.0080,0.0121
1.0,0.02,-0.0001,0.0046
