# J, eta_p, CT, CP
0.00,0.0000,0.0808,0.0526
0.03,0.0537,0.0806,0.0520
0.05,0.1060,0.0803,0.0513
0.08,0.1571,0.0800,0.0505
0.10,0.2068,0.0795,0.0496
0.13,0.2554,0.0790,0.0487
0.16,0.3028,0.0783,0.0478
0.18,0.3491,0.0775,0.0468
0.21,0.3946,0.0765,0.0457
0.24,0.4391,0.0753,0.0446
0.26,0.4826,0.0739,0.0434
0.29,0.5249,0.0721,0.0422
0.31,0.5659,0.0701,0.0408
0.34,0.6046,0.0676,0.0394
0.37,0.6409,0.0647,0.0379
0.39,0.6740,0.0612,0.0361
0.42,0.7013,0.0574,0.0346
0.45,0.7228,0.0537,0.0333
0.47,0.7404,0.0498,0.0319
0.50,0.7565,0.0458,0.0302
0.52,0.7696,0.0416,0.0283
0.55,0.7778,0.0373,0.0264
0.58,0.7823,0.0330,0.0242
0.60,0.7827,0.0285,0.0219
0.63,0.7771,0.0240,0.0194
0.66,0.7628,0.0193,0.0165
0.68,0.7283,0.0146,0.0136
0.71,0.6514,0.0098,0.0106
0.73,0.4770,0.0050,0.0076
0.76,-0.0011,-0.0000,0.0048
