# J, eta_p, CT, CP
0.0,0.00,0.1617,0.1251
0.0,0.05,0.1615,0.1231
0.1,0.10,0.1613,0.1210
0.1,0.15,0.1608,0.1189
0.1,0.20,0.1602,0.1166
0.2,0.26,0.1593,0.1142
0.2,0.31,0.1581,0.1118
0.2,0.36,0.1563,0.1094
0.3,0.41,0.1539,0.1071
0.3,0.46,0.1507,0.1049
0.4,0.51,0.1467,0.1028
0.4,0.55,0.1417,0.1006
0.4,0.59,0.1358,0.0982
0.5,0.63,0.1291,0.0956
0.5,0.66,0.1223,0.0929
0.5,0.69,0.1155,0.0901
0.6,0.71,0.1081,0.0868
0.6,0.74,0.1007,0.0832
0.6,0.76,0.0931,0.0792
0.7,0.77,0.0854,0.0750
0.7,0.79,0.0777,0.0705
0.8,0.80,0.0696,0.0655
0.8,0.80,0.0616,0.0603
0.8,0.80,0.0529,0.0543
0.9,0.79,0.0444,0.0481
0.9,0.77,0.0359,0.0419
0.9,0.71,0.0272,0.0354
1.0,0.61,0.0181,0.0286
1.0,0.42,0.0091,0.0221
1.0,0.00,0.0001,0.0161
