# J, eta_p, CT, CP
0.00,0.0000,0.1137,0.0529
0.03,0.0559,0.1129,0.0524
0.05,0.1111,0.1118,0.0520
0.08,0.1654,0.1106,0.0516
0.10,0.2187,0.1091,0.0512
0.13,0.2705,0.1073,0.0508
0.15,0.3209,0.1052,0.0504
0.18,0.3694,0.1028,0.0499
0.20,0.4160,0.1001,0.0493
0.23,0.4614,0.0971,0.0485
0.25,0.5023,0.0938,0.0478
0.28,0.5418,0.0903,0.0470
0.31,0.5786,0.0865,0.0459
0.33,0.6125,0.0824,0.0447
0.36,0.6432,0.0781,0.0435
0.38,0.6713,0.0736,0.0421
0.41,0.6971,0.0691,0.0405
0.43,0.7206,0.0644,0.0388
0.46,0.7418,0.0596,0.0369
0.48,0.7607,0.0547,0.0349
0.51,0.7765,0.0497,0.0327
0.54,0.7889,0.0447,0.0304
0.56,0.7971,0.0394,0.0278
0.59,0.7997,0.0341,0.0251
0.61,0.7941,0.0287,0.0222
0.64,0.7752,0.0231,0.0191
0.66,0.7355,0.0175,0.0158
0.69,0.6551,0.0117,0.0124
0.71,0.4685,0.0059,0.0091
0.74,-0.0031,0.0000,0.0060
