# J, eta_p, CT, CP
0.0,0.00,0.1079,0.0606
0.0,0.05,0.1072,0.0592
0.1,0.10,0.1063,0.0577
0.1,0.15,0.1053,0.0563
0.1,0.20,0.1040,0.0549
0.1,0.25,0.1025,0.0536
0.2,0.30,0.1008,0.0524
0.2,0.35,0.0988,0.0514
0.2,0.40,0.0965,0.0505
0.2,0.45,0.0939,0.0495
0.3,0.49,0.0911,0.0486
0.3,0.53,0.0879,0.0476
0.3,0.57,0.0844,0.0466
0.3,0.60,0.0806,0.0454
0.4,0.63,0.0766,0.0442
0.4,0.66,0.0723,0.0428
0.4,0.68,0.0680,0.0413
0.4,0.71,0.0634,0.0396
0.5,0.73,0.0587,0.0378
0.5,0.74,0.0540,0.0358
0.5,0.76,0.0491,0.0336
0.5,0.77,0.0441,0.0313
0.6,0.78,0.0390,0.0287
0.6,0.78,0.0338,0.0258
0.6,0.78,0.0285,0.0229
0.6,0.76,0.0230,0.0197
0.7,0.73,0.0175,0.0163
0.7,0.66,0.0118,0.0127
0.7,0.51,0.0059,0.0089
0.7,-0.00,0.0000,0.0051
