# J, eta_p, CT, CP
0.00,0.0000,0.0955,0.0389
0.02,0.0561,0.0945,0.0388
0.05,0.1110,0.0933,0.0387
0.07,0.1644,0.0920,0.0386
0.09,0.2165,0.0906,0.0384
0.11,0.2670,0.0890,0.0382
0.14,0.3158,0.0873,0.0380
0.16,0.3628,0.0853,0.0377
0.18,0.4079,0.0832,0.0373
0.20,0.4510,0.0808,0.0369
0.23,0.4921,0.0782,0.0364
0.25,0.5308,0.0754,0.0358
0.27,0.5668,0.0724,0.0350
0.29,0.6000,0.0690,0.0342
0.32,0.6303,0.0655,0.0332
0.34,0.6577,0.0618,0.0322
0.36,0.6830,0.0580,0.0310
0.39,0.7059,0.0541,0.0297
0.41,0.7264,0.0501,0.0283
0.43,0.7441,0.0461,0.0268
0.45,0.7588,0.0419,0.0252
0.48,0.7701,0.0376,0.0234
0.50,0.7770,0.0333,0.0215
0.52,0.7774,0.0288,0.0194
0.54,0.7689,0.0242,0.0172
0.57,0.7476,0.0196,0.0149
0.59,0.7046,0.0148,0.0125
0.61,0.6233,0.0099,0.0099
0.63,0.4532,0.0050,0.0072
0.66,-0.0050,-0.0000,0.0044
