# J, eta_p, CT, CP
0.00,0.0000,0.1083,0.0834
0.03,0.0501,0.1084,0.0823
0.07,0.0997,0.1084,0.0813
0.10,0.1490,0.1084,0.0801
0.13,0.1979,0.1083,0.0790
0.17,0.2467,0.1082,0.0778
0.20,0.2955,0.1080,0.0766
0.23,0.3445,0.1076,0.0754
0.26,0.3956,0.1070,0.0737
0.30,0.4425,0.1062,0.0731
0.33,0.4927,0.1050,0.0715
0.36,0.5421,0.1033,0.0700
0.40,0.5899,0.1011,0.0685
0.43,0.6360,0.0983,0.0667
0.46,0.6747,0.0947,0.0653
0.50,0.7102,0.0902,0.0633
0.53,0.7393,0.0848,0.0610
0.56,0.7636,0.0792,0.0585
0.60,0.7851,0.0734,0.0559
0.63,0.8044,0.0675,0.0529
0.66,0.8209,0.0613,0.0495
0.70,0.8353,0.0550,0.0458
0.73,0.8474,0.0485,0.0418
0.76,0.8558,0.0419,0.0373
0.79,0.8585,0.0352,0.0326
0.83,0.8525,0.0285,0.0276
0.86,0.8282,0.0215,0.0224
0.89,0.7710,0.0145,0.0169
0.93,0.6037,0.0073,0.0112
0.96,-0.0024,-0.0000,0.0061
