# J, eta_p, CT, CP
0.00,0.0000,0.1207,0.1278
0.04,0.0459,0.1209,0.1249
0.08,0.0916,0.1210,0.1226
0.12,0.1364,0.1212,0.1209
0.15,0.1819,0.1213,0.1184
0.19,0.2289,0.1212,0.1152
0.23,0.2753,0.1212,0.1126
0.27,0.3223,0.1210,0.1099
0.31,0.3683,0.1207,0.1076
0.35,0.4169,0.1202,0.1047
0.39,0.4668,0.1194,0.1019
0.42,0.5179,0.1182,0.0988
0.46,0.5699,0.1165,0.0956
0.50,0.6216,0.1139,0.0923
0.54,0.6708,0.1104,0.0890
0.58,0.7129,0.1059,0.0860
0.62,0.7474,0.1004,0.0829
0.66,0.7750,0.0938,0.0793
0.69,0.7973,0.0869,0.0756
0.73,0.8165,0.0798,0.0716
0.77,0.8332,0.0727,0.0673
0.81,0.8478,0.0649,0.0619
0.85,0.8599,0.0573,0.0565
0.89,0.8694,0.0495,0.0505
0.93,0.8749,0.0416,0.0440
0.96,0.8739,0.0335,0.0369
1.00,0.8587,0.0253,0.0295
1.04,0.8122,0.0170,0.0218
1.08,0.6733,0.0086,0.0138
1.12,-0.0018,-0.0000,0.0062
