# J, eta_p, CT, CP
0.0,0.00,0.1037,0.0659
0.0,0.05,0.1036,0.0661
0.1,0.10,0.1032,0.0643
0.1,0.15,0.1029,0.0635
0.1,0.20,0.1024,0.0627
0.1,0.25,0.1018,0.0627
0.2,0.30,0.1011,0.0618
0.2,0.35,0.1001,0.0609
0.2,0.40,0.0989,0.0601
0.3,0.44,0.0974,0.0593
0.3,0.49,0.0956,0.0585
0.3,0.53,0.0934,0.0577
0.4,0.58,0.0907,0.0567
0.4,0.61,0.0876,0.0556
0.4,0.65,0.0841,0.0543
0.4,0.68,0.0803,0.0528
0.5,0.71,0.0759,0.0511
0.5,0.73,0.0711,0.0492
0.5,0.76,0.0660,0.0471
0.6,0.77,0.0607,0.0447
0.6,0.79,0.0552,0.0419
0.6,0.80,0.0496,0.0390
0.6,0.81,0.0440,0.0359
0.7,0.81,0.0381,0.0325
0.7,0.81,0.0320,0.0286
0.7,0.79,0.0257,0.0245
0.8,0.76,0.0194,0.0201
0.8,0.69,0.0129,0.0156
0.8,0.52,0.0063,0.0108
0.9,-0.01,-0.0001,0.0060
