# J, eta_p, CT, CP
0.0,0.00,0.0890,0.0894
0.0,0.06,0.0892,0.0891
0.1,0.12,0.0895,0.0896
0.1,0.18,0.0898,0.0894
0.2,0.23,0.0901,0.0895
0.2,0.29,0.0904,0.0898
0.3,0.34,0.0906,0.0893
0.3,0.38,0.0909,0.0895
0.4,0.43,0.0911,0.0895
0.4,0.47,0.0912,0.0896
0.4,0.51,0.0913,0.0895
0.5,0.55,0.0913,0.0897
0.5,0.59,0.0912,0.0898
0.6,0.63,0.0910,0.0896
0.6,0.66,0.0905,0.0894
0.7,0.69,0.0894,0.0893
0.7,0.73,0.0875,0.0888
0.8,0.75,0.0849,0.0875
0.8,0.78,0.0813,0.0848
0.8,0.81,0.0762,0.0804
0.9,0.84,0.0699,0.0750
0.9,0.85,0.0631,0.0694
1.0,0.87,0.0558,0.0630
1.0,0.87,0.0484,0.0565
1.1,0.87,0.0407,0.0499
1.1,0.84,0.0329,0.0431
1.2,0.80,0.0253,0.0364
1.2,0.70,0.0169,0.0287
1.2,0.50,0.0085,0.0211
1.3,-0.00,-0.0000,0.0136
