# J, eta_p, CT, CP
0.00,0.0000,0.0969,0.0728
0.03,0.0520,0.0969,0.0720
0.07,0.1033,0.0969,0.0711
0.10,0.1540,0.0969,0.0702
0.13,0.2042,0.0969,0.0693
0.17,0.2541,0.0968,0.0683
0.20,0.3038,0.0966,0.0673
0.23,0.3535,0.0964,0.0663
0.27,0.4034,0.0960,0.0653
0.30,0.4535,0.0954,0.0642
0.33,0.5036,0.0945,0.0631
0.37,0.5532,0.0931,0.0620
0.40,0.5995,0.0911,0.0610
0.43,0.6427,0.0885,0.0598
0.46,0.6804,0.0852,0.0586
0.50,0.7147,0.0814,0.0571
0.53,0.7450,0.0767,0.0550
0.56,0.7707,0.0717,0.0527
0.60,0.7921,0.0664,0.0503
0.63,0.8101,0.0611,0.0477
0.66,0.8257,0.0556,0.0448
0.70,0.8392,0.0499,0.0416
0.73,0.8500,0.0441,0.0380
0.76,0.8566,0.0383,0.0342
0.80,0.8601,0.0323,0.0300
0.83,0.8571,0.0260,0.0253
0.86,0.8385,0.0197,0.0204
0.90,0.7875,0.0132,0.0152
0.93,0.6451,0.0066,0.0098
0.96,-0.0132,-0.0000,0.0047
