# J, eta_p, CT, CP
0.00,0.0000,0.0815,0.0499
0.03,0.0478,0.0814,0.0490
0.05,0.0954,0.0812,0.0482
0.08,0.1417,0.0810,0.0479
0.10,0.1898,0.0807,0.0469
0.13,0.2372,0.0803,0.0463
0.16,0.2881,0.0797,0.0448
0.18,0.3384,0.0790,0.0437
0.21,0.3925,0.0780,0.0422
0.23,0.4427,0.0768,0.0413
0.26,0.4891,0.0754,0.0408
0.29,0.5374,0.0736,0.0399
0.31,0.5824,0.0713,0.0390
0.34,0.6215,0.0683,0.0379
0.37,0.6534,0.0650,0.0369
0.39,0.6827,0.0615,0.0357
0.42,0.7071,0.0578,0.0346
0.44,0.7297,0.0541,0.0333
0.47,0.7496,0.0503,0.0319
0.50,0.7666,0.0464,0.0303
0.52,0.7810,0.0422,0.0285
0.55,0.7918,0.0380,0.0266
0.57,0.7994,0.0335,0.0244
0.60,0.8027,0.0291,0.0220
0.63,0.8011,0.0245,0.0194
0.65,0.7883,0.0198,0.0166
0.68,0.7520,0.0148,0.0136
0.70,0.6633,0.0100,0.0110
0.73,0.4766,0.0050,0.0082
0.76,-0.0068,-0.0000,0.0054
