# J, eta_p, CT, CP
0.00,0.0000,0.1110,0.0759
0.03,0.0500,0.1109,0.0747
0.06,0.1000,0.1107,0.0734
0.09,0.1501,0.1105,0.0721
0.12,0.2000,0.1102,0.0709
0.15,0.2506,0.1098,0.0695
0.18,0.3016,0.1091,0.0681
0.21,0.3531,0.1081,0.0666
0.24,0.4049,0.1068,0.0651
0.27,0.4559,0.1051,0.0637
0.30,0.5073,0.1029,0.0620
0.34,0.5535,0.1003,0.0609
0.37,0.5946,0.0971,0.0599
0.40,0.6338,0.0934,0.0585
0.43,0.6688,0.0890,0.0569
0.46,0.7001,0.0842,0.0551
0.49,0.7273,0.0790,0.0530
0.52,0.7510,0.0736,0.0509
0.55,0.7721,0.0681,0.0485
0.58,0.7906,0.0625,0.0458
0.61,0.8066,0.0568,0.0430
0.64,0.8204,0.0510,0.0398
0.67,0.8311,0.0450,0.0363
0.70,0.8380,0.0389,0.0326
0.73,0.8393,0.0326,0.0285
0.76,0.8308,0.0263,0.0242
0.79,0.8037,0.0199,0.0197
0.82,0.7406,0.0134,0.0149
0.85,0.5765,0.0068,0.0101
0.88,-0.0027,0.0000,0.0056
