# J, eta_p, CT, CP
0.0,0.00,0.0938,0.0462
0.0,0.06,0.0935,0.0456
0.0,0.11,0.0930,0.0451
0.1,0.16,0.0924,0.0446
0.1,0.22,0.0916,0.0440
0.1,0.27,0.0906,0.0432
0.2,0.33,0.0893,0.0427
0.2,0.38,0.0877,0.0424
0.2,0.43,0.0859,0.0420
0.2,0.47,0.0837,0.0419
0.3,0.51,0.0812,0.0414
0.3,0.55,0.0785,0.0408
0.3,0.59,0.0755,0.0401
0.3,0.62,0.0723,0.0392
0.4,0.66,0.0688,0.0382
0.4,0.68,0.0650,0.0371
0.4,0.71,0.0610,0.0358
0.4,0.73,0.0570,0.0344
0.5,0.75,0.0528,0.0328
0.5,0.77,0.0484,0.0310
0.5,0.79,0.0440,0.0291
0.5,0.80,0.0395,0.0270
0.6,0.81,0.0349,0.0247
0.6,0.81,0.0302,0.0222
0.6,0.81,0.0254,0.0196
0.6,0.80,0.0205,0.0168
0.7,0.76,0.0156,0.0138
0.7,0.70,0.0105,0.0106
0.7,0.55,0.0053,0.0073
0.8,-0.00,0.0000,0.0046
