# J, eta_p, CT, CP
0.0,0.00,0.1256,0.0508
0.0,0.05,0.1229,0.0505
0.0,0.11,0.1201,0.0501
0.1,0.16,0.1172,0.0497
0.1,0.21,0.1142,0.0494
0.1,0.25,0.1109,0.0489
0.1,0.30,0.1076,0.0484
0.2,0.34,0.1042,0.0478
0.2,0.38,0.1006,0.0472
0.2,0.42,0.0969,0.0465
0.2,0.46,0.0930,0.0457
0.2,0.49,0.0891,0.0448
0.3,0.52,0.0852,0.0439
0.3,0.55,0.0811,0.0428
0.3,0.58,0.0768,0.0416
0.3,0.61,0.0724,0.0403
0.4,0.63,0.0679,0.0389
0.4,0.65,0.0634,0.0374
0.4,0.67,0.0587,0.0357
0.4,0.68,0.0539,0.0338
0.4,0.69,0.0491,0.0319
0.5,0.70,0.0440,0.0298
0.5,0.70,0.0389,0.0277
0.5,0.68,0.0336,0.0254
0.5,0.66,0.0283,0.0233
0.6,0.62,0.0228,0.0209
0.6,0.54,0.0172,0.0187
0.6,0.43,0.0116,0.0164
0.6,0.26,0.0059,0.0145
0.7,0.00,0.0000,0.0121
