# J, eta_p, CT, CP
0.00,0.0000,0.1039,0.0465
0.02,0.0521,0.1027,0.0461
0.05,0.1036,0.1014,0.0458
0.07,0.1540,0.0999,0.0455
0.09,0.2035,0.0983,0.0451
0.11,0.2523,0.0964,0.0445
0.14,0.2999,0.0943,0.0440
0.16,0.3463,0.0921,0.0433
0.18,0.3910,0.0897,0.0426
0.21,0.4340,0.0870,0.0419
0.23,0.4747,0.0842,0.0411
0.25,0.5130,0.0811,0.0403
0.27,0.5484,0.0778,0.0394
0.30,0.5810,0.0743,0.0385
0.32,0.6106,0.0705,0.0375
0.34,0.6371,0.0666,0.0363
0.37,0.6615,0.0625,0.0350
0.39,0.6837,0.0583,0.0336
0.41,0.7033,0.0540,0.0320
0.44,0.7202,0.0496,0.0303
0.46,0.7341,0.0451,0.0285
0.48,0.7450,0.0406,0.0265
0.50,0.7521,0.0360,0.0244
0.53,0.7539,0.0312,0.0221
0.55,0.7464,0.0264,0.0198
0.57,0.7231,0.0212,0.0172
0.60,0.6806,0.0161,0.0146
0.62,0.5975,0.0108,0.0117
0.64,0.4281,0.0054,0.0088
0.66,-0.0016,-0.0000,0.0063
