# J, eta_p, CT, CP
0.00,0.0000,0.0917,0.0657
0.03,0.0506,0.0913,0.0644
0.05,0.1002,0.0906,0.0629
0.08,0.1489,0.0898,0.0614
0.11,0.1968,0.0887,0.0597
0.13,0.2440,0.0874,0.0579
0.16,0.2905,0.0858,0.0559
0.19,0.3363,0.0838,0.0538
0.21,0.3811,0.0816,0.0516
0.24,0.4246,0.0791,0.0493
0.27,0.4662,0.0764,0.0471
0.29,0.5057,0.0734,0.0450
0.32,0.5427,0.0703,0.0429
0.34,0.5775,0.0670,0.0410
0.37,0.6102,0.0636,0.0392
0.40,0.6384,0.0600,0.0377
0.42,0.6623,0.0564,0.0363
0.45,0.6830,0.0527,0.0349
0.48,0.7009,0.0489,0.0333
0.50,0.7156,0.0449,0.0316
0.53,0.7274,0.0408,0.0297
0.56,0.7361,0.0367,0.0277
0.58,0.7407,0.0325,0.0256
0.61,0.7414,0.0282,0.0231
0.64,0.7358,0.0237,0.0205
0.66,0.7179,0.0192,0.0177
0.69,0.6796,0.0145,0.0148
0.72,0.6052,0.0098,0.0117
0.74,0.4460,0.0050,0.0085
0.77,0.0001,-0.0001,0.0054
