# J, eta_p, CT, CP
0.0,0.00,0.0994,0.0414
0.0,0.05,0.0975,0.0406
0.0,0.10,0.0955,0.0398
0.1,0.14,0.0933,0.0392
0.1,0.19,0.0910,0.0386
0.1,0.23,0.0885,0.0380
0.1,0.28,0.0859,0.0375
0.1,0.32,0.0832,0.0369
0.2,0.35,0.0803,0.0364
0.2,0.39,0.0774,0.0358
0.2,0.42,0.0744,0.0352
0.2,0.45,0.0712,0.0345
0.2,0.48,0.0680,0.0337
0.2,0.51,0.0647,0.0329
0.3,0.53,0.0614,0.0321
0.3,0.56,0.0579,0.0312
0.3,0.58,0.0544,0.0301
0.3,0.59,0.0508,0.0290
0.3,0.61,0.0470,0.0279
0.4,0.62,0.0433,0.0266
0.4,0.63,0.0393,0.0252
0.4,0.63,0.0353,0.0237
0.4,0.63,0.0312,0.0220
0.4,0.62,0.0270,0.0203
0.5,0.61,0.0227,0.0186
0.5,0.57,0.0184,0.0168
0.5,0.51,0.0139,0.0150
0.5,0.42,0.0093,0.0131
0.5,0.26,0.0047,0.0113
0.6,-0.00,-0.0000,0.0095
