# J, eta_p, CT, CP
0.00,0.0000,0.0816,0.0562
0.03,0.0554,0.0815,0.0556
0.06,0.1091,0.0813,0.0549
0.08,0.1613,0.0811,0.0542
0.11,0.2121,0.0808,0.0534
0.14,0.2614,0.0804,0.0526
0.17,0.3094,0.0799,0.0517
0.20,0.3562,0.0793,0.0508
0.22,0.4019,0.0786,0.0498
0.25,0.4464,0.0776,0.0488
0.28,0.4897,0.0765,0.0478
0.31,0.5320,0.0750,0.0467
0.34,0.5731,0.0733,0.0455
0.37,0.6132,0.0711,0.0441
0.39,0.6509,0.0684,0.0425
0.42,0.6854,0.0651,0.0407
0.45,0.7150,0.0611,0.0388
0.48,0.7383,0.0570,0.0372
0.51,0.7599,0.0528,0.0352
0.53,0.7748,0.0485,0.0334
0.56,0.7877,0.0440,0.0314
0.59,0.7963,0.0395,0.0292
0.62,0.8011,0.0348,0.0268
0.65,0.8021,0.0302,0.0242
0.67,0.7973,0.0254,0.0214
0.70,0.7832,0.0204,0.0183
0.73,0.7484,0.0154,0.0150
0.76,0.6723,0.0103,0.0116
0.79,0.4950,0.0052,0.0083
0.82,-0.0032,-0.0000,0.0051
