# J, eta_p, CT, CP
0.0,0.00,0.0947,0.0545
0.0,0.05,0.0937,0.0529
0.1,0.10,0.0924,0.0513
0.1,0.15,0.0909,0.0496
0.1,0.20,0.0892,0.0479
0.1,0.25,0.0872,0.0461
0.1,0.30,0.0850,0.0444
0.2,0.34,0.0825,0.0428
0.2,0.39,0.0799,0.0414
0.2,0.43,0.0771,0.0400
0.2,0.47,0.0741,0.0388
0.3,0.51,0.0711,0.0377
0.3,0.54,0.0680,0.0365
0.3,0.57,0.0647,0.0355
0.3,0.60,0.0614,0.0345
0.4,0.63,0.0580,0.0334
0.4,0.65,0.0545,0.0322
0.4,0.67,0.0508,0.0310
0.4,0.69,0.0470,0.0296
0.5,0.70,0.0432,0.0281
0.5,0.71,0.0393,0.0265
0.5,0.72,0.0354,0.0247
0.5,0.73,0.0313,0.0228
0.5,0.73,0.0271,0.0206
0.6,0.72,0.0228,0.0183
0.6,0.70,0.0184,0.0159
0.6,0.65,0.0139,0.0134
0.6,0.58,0.0094,0.0106
0.7,0.41,0.0047,0.0079
0.7,-0.00,0.0000,0.0054
