# J, eta_p, CT, CP
0.0,0.00,0.1612,0.1200
0.0,0.06,0.1611,0.1192
0.1,0.11,0.1609,0.1184
0.1,0.16,0.1606,0.1176
0.2,0.22,0.1601,0.1167
0.2,0.27,0.1593,0.1156
0.2,0.32,0.1585,0.1147
0.3,0.37,0.1569,0.1133
0.3,0.42,0.1546,0.1117
0.3,0.47,0.1515,0.1098
0.4,0.52,0.1478,0.1078
0.4,0.56,0.1432,0.1059
0.5,0.60,0.1378,0.1038
0.5,0.64,0.1314,0.1013
0.5,0.67,0.1244,0.0985
0.6,0.70,0.1173,0.0957
0.6,0.72,0.1100,0.0925
0.6,0.74,0.1026,0.0889
0.7,0.76,0.0951,0.0850
0.7,0.78,0.0874,0.0806
0.8,0.79,0.0796,0.0759
0.8,0.81,0.0712,0.0703
0.8,0.81,0.0629,0.0645
0.9,0.82,0.0543,0.0581
0.9,0.81,0.0456,0.0512
0.9,0.79,0.0368,0.0441
1.0,0.75,0.0277,0.0365
1.0,0.66,0.0187,0.0292
1.1,0.46,0.0096,0.0222
1.1,-0.00,0.0000,0.0153
