# J, eta_p, CT, CP
0.00,0.0000,0.1193,0.0573
0.02,0.0517,0.1180,0.0560
0.05,0.1038,0.1166,0.0548
0.07,0.1561,0.1149,0.0535
0.09,0.2084,0.1130,0.0523
0.12,0.2603,0.1108,0.0512
0.14,0.3111,0.1082,0.0500
0.17,0.3599,0.1053,0.0491
0.19,0.4058,0.1021,0.0482
0.21,0.4482,0.0985,0.0473
0.24,0.4878,0.0948,0.0465
0.26,0.5247,0.0912,0.0457
0.29,0.5586,0.0872,0.0447
0.31,0.5897,0.0830,0.0437
0.33,0.6183,0.0787,0.0426
0.36,0.6446,0.0742,0.0413
0.38,0.6686,0.0697,0.0398
0.40,0.6901,0.0650,0.0382
0.43,0.7091,0.0602,0.0365
0.45,0.7253,0.0553,0.0346
0.48,0.7379,0.0502,0.0325
0.50,0.7471,0.0451,0.0303
0.52,0.7513,0.0399,0.0279
0.55,0.7492,0.0345,0.0254
0.57,0.7381,0.0290,0.0226
0.60,0.7122,0.0234,0.0198
0.62,0.6590,0.0176,0.0168
0.64,0.5619,0.0118,0.0138
0.67,0.3763,0.0059,0.0109
0.69,-0.0079,-0.0001,0.0080
