# J, eta_p, CT, CP
0.0,0.00,0.0962,0.0339
0.0,0.06,0.0945,0.0337
0.0,0.11,0.0927,0.0334
0.1,0.16,0.0906,0.0332
0.1,0.22,0.0885,0.0329
0.1,0.26,0.0861,0.0326
0.1,0.31,0.0837,0.0323
0.1,0.36,0.0810,0.0319
0.2,0.40,0.0783,0.0315
0.2,0.44,0.0755,0.0310
0.2,0.48,0.0725,0.0305
0.2,0.51,0.0695,0.0300
0.2,0.54,0.0664,0.0294
0.3,0.57,0.0632,0.0288
0.3,0.60,0.0600,0.0280
0.3,0.63,0.0566,0.0272
0.3,0.65,0.0532,0.0263
0.3,0.67,0.0497,0.0253
0.4,0.69,0.0460,0.0242
0.4,0.70,0.0423,0.0230
0.4,0.71,0.0384,0.0217
0.4,0.72,0.0345,0.0203
0.4,0.72,0.0305,0.0187
0.5,0.71,0.0263,0.0171
0.5,0.70,0.0221,0.0154
0.5,0.66,0.0178,0.0136
0.5,0.60,0.0135,0.0119
0.5,0.50,0.0090,0.0100
0.6,0.33,0.0045,0.0081
0.6,-0.01,-0.0001,0.0063
