# J, eta_p, CT, CP
0.0,0.00,0.1509,0.0753
0.0,0.06,0.1491,0.0747
0.1,0.11,0.1469,0.0742
0.1,0.17,0.1445,0.0737
0.1,0.22,0.1417,0.0731
0.1,0.27,0.1384,0.0724
0.2,0.32,0.1350,0.0716
0.2,0.37,0.1312,0.0708
0.2,0.41,0.1270,0.0699
0.3,0.45,0.1224,0.0687
0.3,0.49,0.1176,0.0675
0.3,0.53,0.1125,0.0662
0.3,0.56,0.1073,0.0648
0.4,0.60,0.1020,0.0631
0.4,0.63,0.0966,0.0614
0.4,0.65,0.0910,0.0594
0.5,0.68,0.0853,0.0572
0.5,0.70,0.0794,0.0548
0.5,0.72,0.0735,0.0523
0.5,0.73,0.0674,0.0495
0.6,0.75,0.0611,0.0465
0.6,0.75,0.0547,0.0433
0.6,0.76,0.0481,0.0398
0.7,0.75,0.0415,0.0364
0.7,0.73,0.0350,0.0328
0.7,0.69,0.0286,0.0294
0.7,0.63,0.0216,0.0256
0.8,0.52,0.0145,0.0218
0.8,0.32,0.0071,0.0178
0.8,-0.00,-0.0001,0.0142
