# J, eta_p, CT, CP
0.0,0.00,0.1051,0.0677
0.0,0.05,0.1051,0.0669
0.1,0.10,0.1050,0.0661
0.1,0.16,0.1048,0.0651
0.1,0.21,0.1046,0.0641
0.1,0.26,0.1043,0.0633
0.2,0.31,0.1038,0.0623
0.2,0.36,0.1030,0.0613
0.2,0.42,0.1018,0.0597
0.3,0.46,0.1003,0.0592
0.3,0.51,0.0983,0.0582
0.3,0.56,0.0958,0.0574
0.4,0.60,0.0928,0.0565
0.4,0.64,0.0892,0.0554
0.4,0.67,0.0851,0.0540
0.5,0.70,0.0808,0.0527
0.5,0.73,0.0761,0.0509
0.5,0.75,0.0710,0.0488
0.5,0.77,0.0657,0.0464
0.6,0.79,0.0603,0.0438
0.6,0.81,0.0548,0.0410
0.6,0.82,0.0491,0.0380
0.7,0.83,0.0434,0.0348
0.7,0.84,0.0376,0.0312
0.7,0.84,0.0316,0.0272
0.8,0.84,0.0254,0.0230
0.8,0.82,0.0193,0.0187
0.8,0.76,0.0130,0.0140
0.8,0.63,0.0065,0.0090
0.9,-0.02,-0.0001,0.0050
