# J, eta_p, CT, CP
0.00,0.0000,0.0621,0.0199
0.02,0.0672,0.0619,0.0203
0.04,0.1313,0.0617,0.0207
0.07,0.1923,0.0613,0.0211
0.09,0.2503,0.0609,0.0215
0.11,0.3050,0.0604,0.0218
0.13,0.3567,0.0597,0.0221
0.15,0.4052,0.0589,0.0224
0.18,0.4507,0.0579,0.0226
0.20,0.4930,0.0567,0.0228
0.22,0.5324,0.0551,0.0228
0.24,0.5687,0.0529,0.0225
0.26,0.6012,0.0505,0.0222
0.29,0.6299,0.0480,0.0218
0.31,0.6551,0.0454,0.0214
0.33,0.6769,0.0428,0.0209
0.35,0.6951,0.0401,0.0203
0.37,0.7100,0.0374,0.0197
0.40,0.7218,0.0346,0.0190
0.42,0.7305,0.0317,0.0182
0.44,0.7361,0.0288,0.0172
0.46,0.7388,0.0258,0.0162
0.48,0.7382,0.0228,0.0150
0.51,0.7327,0.0197,0.0136
0.53,0.7206,0.0165,0.0121
0.55,0.6960,0.0133,0.0105
0.57,0.6457,0.0100,0.0089
0.59,0.5494,0.0067,0.0073
0.62,0.3680,0.0034,0.0056
0.64,-0.0031,-0.0000,0.0040
