# J, eta_p, CT, CP
0.00,0.0000,0.1348,0.0573
0.02,0.0559,0.1319,0.0569
0.05,0.1103,0.1291,0.0565
0.07,0.1629,0.1262,0.0561
0.10,0.2137,0.1230,0.0556
0.12,0.2623,0.1197,0.0551
0.15,0.3086,0.1159,0.0544
0.17,0.3524,0.1122,0.0538
0.19,0.3939,0.1082,0.0531
0.22,0.4334,0.1042,0.0523
0.24,0.4707,0.1001,0.0514
0.27,0.5057,0.0958,0.0504
0.29,0.5388,0.0916,0.0493
0.31,0.5695,0.0872,0.0481
0.34,0.5975,0.0824,0.0467
0.36,0.6237,0.0778,0.0453
0.39,0.6476,0.0729,0.0436
0.41,0.6685,0.0679,0.0418
0.43,0.6860,0.0628,0.0399
0.46,0.7001,0.0576,0.0379
0.48,0.7088,0.0523,0.0358
0.51,0.7132,0.0468,0.0334
0.53,0.7106,0.0413,0.0310
0.55,0.6969,0.0357,0.0286
0.58,0.6718,0.0300,0.0260
0.60,0.6272,0.0242,0.0235
0.63,0.5538,0.0182,0.0208
0.65,0.4435,0.0122,0.0181
0.67,0.2723,0.0061,0.0155
0.70,0.0003,0.0000,0.0129
