# J, eta_p, CT, CP
0.0,0.00,0.1081,0.1021
0.0,0.06,0.1083,0.1017
0.1,0.12,0.1085,0.1013
0.1,0.17,0.1087,0.1010
0.2,0.22,0.1090,0.1006
0.2,0.28,0.1092,0.1004
0.2,0.33,0.1093,0.1000
0.3,0.37,0.1095,0.1003
0.3,0.42,0.1095,0.1003
0.4,0.46,0.1095,0.1005
0.4,0.50,0.1095,0.1012
0.5,0.54,0.1093,0.1014
0.5,0.58,0.1089,0.1012
0.5,0.62,0.1081,0.1004
0.6,0.66,0.1069,0.0993
0.6,0.70,0.1046,0.0972
0.7,0.74,0.1009,0.0941
0.7,0.77,0.0951,0.0891
0.8,0.80,0.0879,0.0835
0.8,0.82,0.0807,0.0785
0.8,0.84,0.0734,0.0737
0.9,0.85,0.0659,0.0683
0.9,0.86,0.0582,0.0625
1.0,0.87,0.0503,0.0560
1.0,0.88,0.0423,0.0489
1.1,0.87,0.0342,0.0412
1.1,0.86,0.0258,0.0328
1.1,0.81,0.0173,0.0242
1.2,0.67,0.0088,0.0155
1.2,0.00,0.0000,0.0069
