# J, eta_p, CT, CP
0.0,0.00,0.0919,0.0395
0.0,0.06,0.0912,0.0391
0.0,0.11,0.0904,0.0388
0.1,0.17,0.0894,0.0385
0.1,0.22,0.0882,0.0382
0.1,0.28,0.0868,0.0380
0.1,0.33,0.0851,0.0378
0.2,0.37,0.0831,0.0375
0.2,0.42,0.0809,0.0372
0.2,0.46,0.0785,0.0368
0.2,0.51,0.0759,0.0363
0.3,0.54,0.0731,0.0357
0.3,0.58,0.0700,0.0350
0.3,0.61,0.0668,0.0342
0.3,0.64,0.0634,0.0333
0.4,0.67,0.0599,0.0323
0.4,0.69,0.0562,0.0312
0.4,0.72,0.0524,0.0299
0.4,0.74,0.0485,0.0285
0.5,0.76,0.0445,0.0269
0.5,0.77,0.0404,0.0252
0.5,0.78,0.0362,0.0234
0.5,0.79,0.0320,0.0214
0.5,0.79,0.0277,0.0193
0.6,0.79,0.0232,0.0170
0.6,0.77,0.0188,0.0146
0.6,0.74,0.0142,0.0121
0.6,0.67,0.0096,0.0095
0.7,0.49,0.0048,0.0069
0.7,-0.01,-0.0000,0.0048
