# J, eta_p, CT, CP
0.0,0.00,0.0808,0.0526
0.0,0.05,0.0806,0.0520
0.1,0.11,0.0803,0.0513
0.1,0.16,0.0800,0.0505
0.1,0.21,0.0795,0.0496
0.1,0.26,0.0790,0.0487
0.2,0.30,0.0783,0.0478
0.2,0.35,0.0775,0.0468
0.2,0.39,0.0765,0.0457
0.2,0.44,0.0753,0.0446
0.3,0.48,0.0739,0.0434
0.3,0.52,0.0721,0.0422
0.3,0.57,0.0701,0.0408
0.3,0.60,0.0676,0.0394
0.4,0.64,0.0647,0.0379
0.4,0.67,0.0612,0.0361
0.4,0.70,0.0574,0.0346
0.4,0.72,0.0537,0.0333
0.5,0.74,0.0498,0.0319
0.5,0.76,0.0458,0.0302
0.5,0.77,0.0416,0.0283
0.5,0.78,0.0373,0.0264
0.6,0.78,0.0330,0.0242
0.6,0.78,0.0285,0.0219
0.6,0.78,0.0240,0.0194
0.7,0.76,0.0193,0.0165
0.7,0.73,0.0146,0.0136
0.7,0.65,0.0098,0.0106
0.7,0.48,0.0050,0.0076
0.8,-0.00,-0.0000,0.0048
