# J, eta_p, CT, CP
0.0,0.00,0.3026,0.1903
0.0,0.05,0.2992,0.1924
0.1,0.10,0.2952,0.1944
0.1,0.15,0.2902,0.1958
0.1,0.20,0.2844,0.1965
0.2,0.24,0.2776,0.1962
0.2,0.29,0.2699,0.1950
0.2,0.33,0.2614,0.1930
0.3,0.36,0.2523,0.1907
0.3,0.40,0.2431,0.1877
0.3,0.43,0.2339,0.1850
0.4,0.47,0.2242,0.1815
0.4,0.50,0.2143,0.1778
0.4,0.53,0.2040,0.1735
0.5,0.55,0.1937,0.1690
0.5,0.58,0.1830,0.1638
0.5,0.60,0.1719,0.1581
0.6,0.62,0.1605,0.1518
0.6,0.64,0.1489,0.1449
0.7,0.65,0.1369,0.1375
0.7,0.66,0.1247,0.1295
0.7,0.67,0.1121,0.1209
0.8,0.67,0.0992,0.1116
0.8,0.67,0.0861,0.1018
0.8,0.65,0.0726,0.0915
0.9,0.63,0.0588,0.0808
0.9,0.57,0.0447,0.0698
0.9,0.48,0.0300,0.0586
1.0,0.31,0.0151,0.0476
1.0,-0.00,-0.0000,0.0368
