# J, eta_p, CT, CP
0.00,0.0000,0.0922,0.0906
0.04,0.0577,0.0928,0.0902
0.08,0.1135,0.0931,0.0898
0.12,0.1669,0.0928,0.0894
0.16,0.2186,0.0933,0.0895
0.20,0.2682,0.0934,0.0890
0.24,0.3164,0.0939,0.0886
0.28,0.3618,0.0940,0.0891
0.32,0.4051,0.0938,0.0891
0.36,0.4484,0.0937,0.0879
0.40,0.4898,0.0936,0.0872
0.44,0.5290,0.0935,0.0871
0.48,0.5672,0.0931,0.0866
0.52,0.6054,0.0923,0.0853
0.56,0.6403,0.0915,0.0853
0.60,0.6744,0.0895,0.0837
0.64,0.7059,0.0869,0.0824
0.68,0.7369,0.0834,0.0797
0.72,0.7665,0.0787,0.0760
0.76,0.7941,0.0729,0.0711
0.80,0.8181,0.0664,0.0658
0.84,0.8338,0.0598,0.0608
0.88,0.8432,0.0531,0.0558
0.92,0.8503,0.0459,0.0501
0.96,0.8468,0.0387,0.0442
1.00,0.8231,0.0313,0.0383
1.04,0.7725,0.0237,0.0321
1.08,0.6735,0.0159,0.0256
1.12,0.4708,0.0079,0.0194
1.16,-0.0046,-0.0001,0.0131
