# J, eta_p, CT, CP
0.0,0.00,0.0966,0.0578
0.0,0.05,0.0963,0.0568
0.0,0.10,0.0959,0.0556
0.1,0.15,0.0954,0.0545
0.1,0.20,0.0948,0.0534
0.1,0.25,0.0940,0.0523
0.2,0.30,0.0930,0.0511
0.2,0.35,0.0918,0.0500
0.2,0.40,0.0903,0.0490
0.2,0.45,0.0886,0.0480
0.3,0.50,0.0864,0.0470
0.3,0.55,0.0839,0.0460
0.3,0.59,0.0810,0.0449
0.4,0.63,0.0777,0.0439
0.4,0.66,0.0742,0.0428
0.4,0.69,0.0703,0.0416
0.4,0.72,0.0660,0.0400
0.5,0.74,0.0616,0.0384
0.5,0.76,0.0570,0.0366
0.5,0.78,0.0523,0.0347
0.5,0.79,0.0475,0.0325
0.6,0.81,0.0426,0.0301
0.6,0.81,0.0376,0.0275
0.6,0.82,0.0324,0.0247
0.7,0.82,0.0272,0.0217
0.7,0.81,0.0220,0.0185
0.7,0.77,0.0166,0.0152
0.7,0.70,0.0112,0.0116
0.8,0.54,0.0056,0.0080
0.8,-0.00,0.0000,0.0046
