# J, eta_p, CT, CP
0.00,0.0000,0.1256,0.0508
0.02,0.0547,0.1229,0.0505
0.04,0.1075,0.1201,0.0501
0.07,0.1586,0.1172,0.0497
0.09,0.2076,0.1142,0.0494
0.11,0.2546,0.1109,0.0489
0.13,0.2994,0.1076,0.0484
0.16,0.3421,0.1042,0.0478
0.18,0.3828,0.1006,0.0472
0.20,0.4209,0.0969,0.0465
0.22,0.4573,0.0930,0.0457
0.25,0.4914,0.0891,0.0448
0.27,0.5232,0.0852,0.0439
0.29,0.5534,0.0811,0.0428
0.31,0.5808,0.0768,0.0416
0.34,0.6057,0.0724,0.0403
0.36,0.6289,0.0679,0.0389
0.38,0.6488,0.0634,0.0374
0.40,0.6662,0.0587,0.0357
0.43,0.6826,0.0539,0.0338
0.45,0.6927,0.0491,0.0319
0.47,0.6992,0.0440,0.0298
0.49,0.6985,0.0389,0.0277
0.52,0.6848,0.0336,0.0254
0.54,0.6590,0.0283,0.0233
0.56,0.6152,0.0228,0.0209
0.58,0.5431,0.0172,0.0187
0.60,0.4350,0.0116,0.0164
0.63,0.2601,0.0059,0.0145
0.65,0.0009,0.0000,0.0121
