# J, eta_p, CT, CP
0.00,0.0000,0.1103,0.0497
0.03,0.0583,0.1093,0.0494
0.05,0.1155,0.1081,0.0491
0.08,0.1714,0.1066,0.0487
0.10,0.2258,0.1049,0.0484
0.13,0.2786,0.1028,0.0480
0.16,0.3295,0.1005,0.0475
0.18,0.3785,0.0980,0.0471
0.21,0.4253,0.0953,0.0465
0.23,0.4699,0.0923,0.0459
0.26,0.5120,0.0892,0.0452
0.29,0.5516,0.0859,0.0445
0.31,0.5884,0.0824,0.0436
0.34,0.6224,0.0785,0.0426
0.36,0.6532,0.0744,0.0414
0.39,0.6810,0.0702,0.0401
0.41,0.7065,0.0658,0.0387
0.44,0.7297,0.0614,0.0371
0.47,0.7507,0.0568,0.0354
0.49,0.7693,0.0522,0.0335
0.52,0.7851,0.0474,0.0314
0.54,0.7980,0.0425,0.0291
0.57,0.8076,0.0376,0.0266
0.60,0.8131,0.0325,0.0239
0.62,0.8117,0.0273,0.0210
0.65,0.8002,0.0220,0.0179
0.67,0.7731,0.0167,0.0146
0.70,0.7153,0.0112,0.0110
0.73,0.5618,0.0056,0.0073
0.75,-0.0042,0.0000,0.0043
