# J, eta_p, CT, CP
0.0,0.00,0.0600,0.0237
0.0,0.04,0.0595,0.0236
0.0,0.08,0.0590,0.0237
0.1,0.12,0.0585,0.0237
0.1,0.16,0.0578,0.0236
0.1,0.20,0.0570,0.0235
0.1,0.23,0.0562,0.0233
0.1,0.27,0.0552,0.0233
0.1,0.30,0.0540,0.0231
0.1,0.34,0.0527,0.0228
0.2,0.37,0.0513,0.0226
0.2,0.40,0.0496,0.0222
0.2,0.42,0.0478,0.0219
0.2,0.45,0.0459,0.0214
0.2,0.48,0.0438,0.0208
0.2,0.50,0.0414,0.0202
0.3,0.52,0.0389,0.0194
0.3,0.53,0.0362,0.0186
0.3,0.55,0.0335,0.0177
0.3,0.56,0.0307,0.0169
0.3,0.57,0.0279,0.0159
0.3,0.57,0.0250,0.0149
0.4,0.57,0.0221,0.0138
0.4,0.56,0.0191,0.0127
0.4,0.54,0.0160,0.0115
0.4,0.51,0.0129,0.0103
0.4,0.45,0.0097,0.0091
0.4,0.37,0.0066,0.0078
0.4,0.23,0.0033,0.0065
0.5,-0.00,0.0000,0.0051
