# J, eta_p, CT, CP
0.00,0.0000,0.1120,0.0782
0.03,0.0489,0.1119,0.0769
0.06,0.0980,0.1118,0.0756
0.09,0.1473,0.1116,0.0742
0.12,0.1972,0.1112,0.0727
0.15,0.2477,0.1107,0.0712
0.18,0.2990,0.1100,0.0695
0.21,0.3511,0.1090,0.0678
0.24,0.4036,0.1076,0.0661
0.28,0.4555,0.1057,0.0645
0.31,0.5051,0.1034,0.0630
0.34,0.5514,0.1007,0.0617
0.37,0.5938,0.0973,0.0604
0.40,0.6329,0.0935,0.0589
0.43,0.6686,0.0892,0.0573
0.46,0.6997,0.0845,0.0556
0.49,0.7265,0.0795,0.0537
0.52,0.7498,0.0742,0.0516
0.55,0.7707,0.0688,0.0492
0.58,0.7893,0.0631,0.0465
0.61,0.8054,0.0574,0.0436
0.64,0.8190,0.0515,0.0405
0.67,0.8296,0.0456,0.0370
0.70,0.8371,0.0395,0.0332
0.73,0.8411,0.0332,0.0291
0.76,0.8351,0.0268,0.0245
0.79,0.8146,0.0203,0.0198
0.83,0.7660,0.0136,0.0148
0.86,0.6362,0.0069,0.0093
0.89,-0.0019,-0.0000,0.0040
