# J, eta_p, CT, CP
0.0,0.00,0.1435,0.0668
0.0,0.06,0.1412,0.0664
0.1,0.11,0.1388,0.0660
0.1,0.17,0.1360,0.0656
0.1,0.22,0.1331,0.0652
0.1,0.27,0.1299,0.0647
0.2,0.32,0.1265,0.0642
0.2,0.36,0.1229,0.0637
0.2,0.41,0.1189,0.0630
0.2,0.45,0.1147,0.0622
0.3,0.48,0.1103,0.0614
0.3,0.52,0.1057,0.0604
0.3,0.55,0.1010,0.0592
0.4,0.58,0.0960,0.0579
0.4,0.61,0.0909,0.0564
0.4,0.63,0.0857,0.0547
0.4,0.66,0.0803,0.0528
0.5,0.68,0.0748,0.0508
0.5,0.69,0.0692,0.0484
0.5,0.71,0.0634,0.0459
0.5,0.72,0.0575,0.0432
0.6,0.73,0.0515,0.0402
0.6,0.73,0.0454,0.0370
0.6,0.72,0.0391,0.0337
0.6,0.70,0.0327,0.0302
0.7,0.67,0.0262,0.0265
0.7,0.60,0.0198,0.0232
0.7,0.49,0.0133,0.0197
0.8,0.31,0.0066,0.0161
0.8,-0.00,-0.0000,0.0130
