# J, eta_p, CT, CP
0.0,0.00,0.1264,0.0774
0.0,0.05,0.1256,0.0751
0.1,0.10,0.1246,0.0727
0.1,0.15,0.1235,0.0700
0.1,0.20,0.1221,0.0677
0.1,0.25,0.1204,0.0652
0.2,0.30,0.1181,0.0628
0.2,0.35,0.1153,0.0604
0.2,0.40,0.1118,0.0582
0.2,0.45,0.1079,0.0564
0.3,0.49,0.1039,0.0551
0.3,0.53,0.0997,0.0539
0.3,0.57,0.0953,0.0527
0.3,0.60,0.0908,0.0514
0.4,0.63,0.0861,0.0500
0.4,0.65,0.0813,0.0485
0.4,0.68,0.0762,0.0468
0.4,0.70,0.0711,0.0449
0.5,0.72,0.0658,0.0428
0.5,0.74,0.0605,0.0406
0.5,0.75,0.0550,0.0382
0.5,0.76,0.0493,0.0355
0.6,0.76,0.0436,0.0328
0.6,0.76,0.0377,0.0298
0.6,0.74,0.0316,0.0267
0.6,0.71,0.0255,0.0235
0.7,0.65,0.0192,0.0202
0.7,0.54,0.0129,0.0171
0.7,0.35,0.0065,0.0138
0.8,0.00,0.0001,0.0107
