# J, eta_p, CT, CP
0.00,0.0000,0.1020,0.1072
0.04,0.0539,0.1023,0.1059
0.08,0.1067,0.1026,0.1044
0.13,0.1586,0.1029,0.1028
0.17,0.2096,0.1032,0.1012
0.21,0.2598,0.1034,0.0996
0.25,0.3095,0.1035,0.0979
0.30,0.3587,0.1036,0.0962
0.34,0.4076,0.1036,0.0945
0.38,0.4565,0.1035,0.0928
0.42,0.5052,0.1032,0.0912
0.46,0.5542,0.1029,0.0896
0.51,0.6033,0.1024,0.0881
0.55,0.6528,0.1016,0.0866
0.59,0.7021,0.1002,0.0848
0.63,0.7490,0.0974,0.0825
0.68,0.7872,0.0931,0.0799
0.72,0.8143,0.0875,0.0771
0.76,0.8360,0.0813,0.0740
0.80,0.8543,0.0745,0.0700
0.84,0.8696,0.0676,0.0657
0.89,0.8826,0.0606,0.0609
0.93,0.8936,0.0535,0.0555
0.97,0.9027,0.0461,0.0497
1.01,0.9088,0.0388,0.0432
1.06,0.9107,0.0313,0.0363
1.10,0.9030,0.0237,0.0288
1.14,0.8734,0.0159,0.0208
1.18,0.7778,0.0080,0.0122
1.23,-0.0015,0.0000,0.0041
