# J, eta_p, CT, CP
0.00,0.0000,0.1007,0.0556
0.03,0.0534,0.1006,0.0548
0.05,0.1075,0.1002,0.0535
0.08,0.1599,0.0998,0.0532
0.11,0.2145,0.0992,0.0519
0.14,0.2663,0.0984,0.0514
0.16,0.3191,0.0973,0.0506
0.19,0.3709,0.0959,0.0499
0.22,0.4213,0.0942,0.0491
0.25,0.4696,0.0921,0.0484
0.27,0.5158,0.0896,0.0476
0.30,0.5593,0.0867,0.0467
0.33,0.5998,0.0834,0.0457
0.36,0.6358,0.0798,0.0447
0.38,0.6680,0.0757,0.0434
0.41,0.6964,0.0714,0.0421
0.44,0.7220,0.0670,0.0406
0.46,0.7449,0.0625,0.0390
0.49,0.7654,0.0578,0.0372
0.52,0.7835,0.0530,0.0352
0.55,0.7994,0.0481,0.0329
0.57,0.8125,0.0432,0.0305
0.60,0.8216,0.0380,0.0278
0.63,0.8257,0.0329,0.0250
0.66,0.8227,0.0275,0.0220
0.68,0.8072,0.0221,0.0188
0.71,0.7706,0.0168,0.0155
0.74,0.6932,0.0113,0.0120
0.77,0.5094,0.0057,0.0086
0.79,-0.0036,-0.0000,0.0054
