# J, eta_p, CT, CP
0.00,0.0000,0.1033,0.0462
0.02,0.0543,0.1024,0.0460
0.05,0.1074,0.1012,0.0459
0.07,0.1608,0.1000,0.0451
0.10,0.2103,0.0987,0.0455
0.12,0.2598,0.0972,0.0453
0.14,0.3098,0.0955,0.0446
0.17,0.3564,0.0937,0.0444
0.19,0.3990,0.0917,0.0445
0.21,0.4436,0.0894,0.0438
0.24,0.4822,0.0869,0.0436
0.26,0.5205,0.0841,0.0430
0.29,0.5567,0.0809,0.0422
0.31,0.5906,0.0772,0.0411
0.33,0.6212,0.0732,0.0398
0.36,0.6490,0.0691,0.0385
0.38,0.6747,0.0648,0.0370
0.41,0.6981,0.0604,0.0354
0.43,0.7191,0.0560,0.0337
0.45,0.7366,0.0515,0.0319
0.48,0.7504,0.0469,0.0301
0.50,0.7610,0.0422,0.0281
0.53,0.7682,0.0373,0.0258
0.55,0.7698,0.0323,0.0232
0.57,0.7628,0.0271,0.0206
0.60,0.7423,0.0218,0.0178
0.62,0.7021,0.0166,0.0149
0.64,0.6161,0.0111,0.0119
0.67,0.4485,0.0056,0.0088
0.69,-0.0024,0.0000,0.0056
