# J, eta_p, CT, CP
0.0,0.00,0.1139,0.0714
0.0,0.06,0.1139,0.0715
0.1,0.11,0.1138,0.0717
0.1,0.17,0.1137,0.0718
0.1,0.22,0.1135,0.0717
0.2,0.27,0.1133,0.0719
0.2,0.32,0.1129,0.0719
0.2,0.37,0.1123,0.0720
0.2,0.41,0.1115,0.0720
0.3,0.46,0.1105,0.0716
0.3,0.50,0.1091,0.0713
0.3,0.54,0.1074,0.0708
0.4,0.58,0.1051,0.0702
0.4,0.61,0.1023,0.0693
0.4,0.65,0.0987,0.0679
0.5,0.68,0.0938,0.0654
0.5,0.71,0.0882,0.0628
0.5,0.73,0.0824,0.0601
0.6,0.75,0.0765,0.0574
0.6,0.77,0.0704,0.0542
0.6,0.78,0.0640,0.0510
0.7,0.79,0.0575,0.0474
0.7,0.80,0.0509,0.0436
0.7,0.80,0.0441,0.0394
0.7,0.80,0.0372,0.0347
0.8,0.79,0.0299,0.0296
0.8,0.76,0.0227,0.0243
0.8,0.69,0.0153,0.0188
0.9,0.52,0.0078,0.0131
0.9,-0.00,-0.0000,0.0073
