# J, eta_p, CT, CP
0.00,0.0000,0.0944,0.0456
0.02,0.0522,0.0937,0.0446
0.05,0.1050,0.0929,0.0437
0.07,0.1580,0.0918,0.0427
0.10,0.2112,0.0906,0.0418
0.12,0.2637,0.0892,0.0411
0.14,0.3169,0.0876,0.0401
0.17,0.3663,0.0857,0.0396
0.19,0.4113,0.0836,0.0394
0.22,0.4558,0.0813,0.0388
0.24,0.4979,0.0787,0.0382
0.26,0.5374,0.0759,0.0376
0.29,0.5744,0.0729,0.0368
0.31,0.6086,0.0697,0.0360
0.34,0.6399,0.0662,0.0350
0.36,0.6677,0.0626,0.0339
0.38,0.6923,0.0587,0.0327
0.41,0.7141,0.0548,0.0314
0.43,0.7332,0.0507,0.0300
0.46,0.7496,0.0466,0.0284
0.48,0.7632,0.0424,0.0267
0.50,0.7737,0.0380,0.0249
0.53,0.7809,0.0336,0.0228
0.55,0.7841,0.0291,0.0206
0.58,0.7797,0.0244,0.0181
0.60,0.7631,0.0197,0.0156
0.62,0.7285,0.0149,0.0129
0.65,0.6593,0.0100,0.0100
0.67,0.4955,0.0050,0.0071
0.70,-0.0065,-0.0000,0.0047
