# J, eta_p, CT, CP
0.00,0.0000,0.0938,0.0462
0.03,0.0551,0.0935,0.0456
0.05,0.1098,0.0930,0.0451
0.08,0.1644,0.0924,0.0446
0.10,0.2187,0.0916,0.0440
0.13,0.2740,0.0906,0.0432
0.16,0.3266,0.0893,0.0427
0.18,0.3772,0.0877,0.0424
0.21,0.4251,0.0859,0.0420
0.23,0.4687,0.0837,0.0419
0.26,0.5116,0.0812,0.0414
0.28,0.5518,0.0785,0.0408
0.31,0.5893,0.0755,0.0401
0.34,0.6242,0.0723,0.0392
0.36,0.6559,0.0688,0.0382
0.39,0.6842,0.0650,0.0371
0.41,0.7092,0.0610,0.0358
0.44,0.7319,0.0570,0.0344
0.47,0.7523,0.0528,0.0328
0.49,0.7704,0.0484,0.0310
0.52,0.7857,0.0440,0.0291
0.54,0.7979,0.0395,0.0270
0.57,0.8068,0.0349,0.0247
0.60,0.8118,0.0302,0.0222
0.62,0.8095,0.0254,0.0196
0.65,0.7960,0.0205,0.0168
0.67,0.7638,0.0156,0.0138
0.70,0.7008,0.0105,0.0106
0.72,0.5457,0.0053,0.0073
0.75,-0.0016,0.0000,0.0046
