# J, eta_p, CT, CP
0.00,0.0000,0.0952,0.0480
0.03,0.0536,0.0948,0.0474
0.05,0.1069,0.0943,0.0469
0.08,0.1598,0.0937,0.0463
0.10,0.2122,0.0929,0.0459
0.13,0.2639,0.0919,0.0455
0.15,0.3141,0.0908,0.0452
0.18,0.3639,0.0894,0.0447
0.21,0.4118,0.0878,0.0443
0.23,0.4578,0.0858,0.0438
0.26,0.5018,0.0836,0.0432
0.28,0.5433,0.0810,0.0425
0.31,0.5821,0.0781,0.0417
0.33,0.6177,0.0748,0.0408
0.36,0.6501,0.0713,0.0398
0.38,0.6791,0.0675,0.0386
0.41,0.7046,0.0635,0.0373
0.44,0.7269,0.0593,0.0359
0.46,0.7473,0.0550,0.0342
0.49,0.7654,0.0505,0.0324
0.51,0.7813,0.0459,0.0304
0.54,0.7932,0.0413,0.0283
0.56,0.8012,0.0365,0.0259
0.59,0.8039,0.0316,0.0234
0.62,0.7996,0.0265,0.0206
0.64,0.7821,0.0214,0.0177
0.67,0.7443,0.0162,0.0147
0.69,0.6694,0.0109,0.0115
0.72,0.5014,0.0055,0.0081
0.74,-0.0015,-0.0000,0.0052
