# J, eta_p, CT, CP
0.0,0.00,0.0966,0.0575
0.0,0.05,0.0965,0.0566
0.1,0.10,0.0962,0.0557
0.1,0.15,0.0959,0.0548
0.1,0.20,0.0954,0.0537
0.1,0.25,0.0947,0.0527
0.2,0.30,0.0938,0.0516
0.2,0.36,0.0926,0.0506
0.2,0.41,0.0911,0.0497
0.2,0.45,0.0893,0.0489
0.3,0.50,0.0872,0.0482
0.3,0.54,0.0847,0.0475
0.3,0.58,0.0819,0.0468
0.4,0.62,0.0787,0.0458
0.4,0.65,0.0752,0.0448
0.4,0.68,0.0713,0.0435
0.4,0.71,0.0672,0.0420
0.5,0.73,0.0628,0.0404
0.5,0.75,0.0580,0.0384
0.5,0.77,0.0534,0.0364
0.5,0.78,0.0488,0.0345
0.6,0.79,0.0438,0.0320
0.6,0.80,0.0387,0.0293
0.6,0.81,0.0334,0.0263
0.7,0.81,0.0281,0.0230
0.7,0.80,0.0227,0.0197
0.7,0.77,0.0171,0.0162
0.7,0.71,0.0115,0.0124
0.8,0.56,0.0058,0.0084
0.8,-0.01,-0.0000,0.0049
