# J, eta_p, CT, CP
0.00,0.0000,0.1144,0.1225
0.04,0.0511,0.1146,0.1212
0.08,0.1014,0.1149,0.1196
0.13,0.1534,0.1150,0.1167
0.17,0.2025,0.1152,0.1152
0.21,0.2469,0.1155,0.1150
0.25,0.2941,0.1156,0.1134
0.30,0.3409,0.1157,0.1118
0.34,0.3873,0.1157,0.1101
0.38,0.4336,0.1155,0.1085
0.42,0.4844,0.1152,0.1059
0.47,0.5258,0.1149,0.1054
0.51,0.5717,0.1142,0.1039
0.55,0.6182,0.1132,0.1023
0.59,0.6642,0.1114,0.1004
0.64,0.7138,0.1086,0.0972
0.68,0.7496,0.1048,0.0953
0.72,0.7810,0.0993,0.0922
0.76,0.8058,0.0920,0.0877
0.81,0.8264,0.0846,0.0829
0.85,0.8427,0.0770,0.0779
0.89,0.8556,0.0692,0.0724
0.93,0.8650,0.0612,0.0663
0.98,0.8693,0.0530,0.0598
1.02,0.8673,0.0446,0.0527
1.06,0.8556,0.0359,0.0447
1.10,0.8267,0.0271,0.0363
1.15,0.7599,0.0182,0.0275
1.19,0.5942,0.0092,0.0185
1.23,-0.0024,-0.0000,0.0095
