# J, eta_p, CT, CP
0.00,0.0000,0.1158,0.0544
0.02,0.0527,0.1148,0.0535
0.05,0.1055,0.1136,0.0526
0.07,0.1584,0.1122,0.0518
0.10,0.2110,0.1106,0.0509
0.12,0.2633,0.1087,0.0501
0.14,0.3142,0.1065,0.0493
0.17,0.3633,0.1039,0.0485
0.19,0.4099,0.1009,0.0477
0.22,0.4535,0.0977,0.0470
0.24,0.4938,0.0942,0.0462
0.27,0.5310,0.0905,0.0454
0.29,0.5660,0.0866,0.0444
0.31,0.5979,0.0824,0.0434
0.34,0.6271,0.0782,0.0423
0.36,0.6537,0.0738,0.0410
0.39,0.6782,0.0693,0.0396
0.41,0.7006,0.0647,0.0380
0.43,0.7204,0.0599,0.0362
0.46,0.7377,0.0550,0.0343
0.48,0.7522,0.0500,0.0322
0.51,0.7623,0.0450,0.0300
0.53,0.7677,0.0397,0.0276
0.56,0.7665,0.0344,0.0251
0.58,0.7580,0.0290,0.0223
0.60,0.7345,0.0234,0.0194
0.63,0.6872,0.0177,0.0164
0.65,0.5928,0.0119,0.0134
0.68,0.4128,0.0061,0.0102
0.70,-0.0043,-0.0000,0.0072
