# J, eta_p, CT, CP
0.00,0.0000,0.0995,0.0417
0.02,0.0490,0.0977,0.0409
0.04,0.0968,0.0957,0.0402
0.06,0.1433,0.0936,0.0395
0.08,0.1883,0.0913,0.0387
0.10,0.2312,0.0889,0.0381
0.12,0.2731,0.0863,0.0374
0.14,0.3127,0.0836,0.0368
0.15,0.3501,0.0808,0.0362
0.17,0.3853,0.0778,0.0355
0.19,0.4183,0.0747,0.0349
0.21,0.4488,0.0716,0.0342
0.23,0.4771,0.0685,0.0336
0.25,0.5030,0.0651,0.0328
0.27,0.5267,0.0618,0.0320
0.29,0.5480,0.0583,0.0311
0.31,0.5673,0.0547,0.0300
0.33,0.5844,0.0511,0.0289
0.35,0.5991,0.0473,0.0276
0.37,0.6106,0.0434,0.0263
0.39,0.6186,0.0395,0.0248
0.41,0.6230,0.0354,0.0233
0.42,0.6231,0.0313,0.0216
0.44,0.6170,0.0271,0.0197
0.46,0.6012,0.0228,0.0178
0.48,0.5724,0.0184,0.0159
0.50,0.5228,0.0140,0.0138
0.52,0.4356,0.0094,0.0117
0.54,0.2827,0.0047,0.0096
0.56,-0.0051,-0.0001,0.0075
