# J, eta_p, CT, CP
0.00,0.0000,0.1063,0.0410
0.02,0.0617,0.1046,0.0413
0.05,0.1205,0.1027,0.0415
0.07,0.1763,0.1006,0.0417
0.10,0.2294,0.0984,0.0418
0.12,0.2796,0.0958,0.0418
0.15,0.3269,0.0930,0.0416
0.17,0.3715,0.0901,0.0413
0.20,0.4133,0.0871,0.0411
0.22,0.4520,0.0840,0.0407
0.24,0.4878,0.0807,0.0403
0.27,0.5207,0.0774,0.0398
0.29,0.5507,0.0739,0.0392
0.32,0.5782,0.0703,0.0385
0.34,0.6029,0.0666,0.0377
0.37,0.6251,0.0628,0.0367
0.39,0.6440,0.0589,0.0356
0.41,0.6592,0.0548,0.0344
0.44,0.6693,0.0506,0.0332
0.46,0.6734,0.0463,0.0318
0.49,0.6716,0.0419,0.0304
0.51,0.6627,0.0375,0.0289
0.53,0.6464,0.0329,0.0273
0.56,0.6212,0.0283,0.0255
0.59,0.5842,0.0237,0.0237
0.61,0.5331,0.0191,0.0217
0.63,0.4593,0.0143,0.0197
0.66,0.3544,0.0094,0.0175
0.68,0.2091,0.0047,0.0152
0.70,0.0025,0.0001,0.0131
